ID,Word,Meaning,Etymology,Derived
249,content,内容，中身；コンテンツ,con(共に) + tain(保つ) → 内部に保持されているもの,contentment(満足)
250,section,部門；部分；地区；欄,sect(切る) → 切り分けられたひと区切り,sectional(部分的な)
251,audience,〔集合的に〕聴衆，観客；視聴者,audi(聴く)が語源 → 聴く人々の集まり,audio(音声の) / audition(オーディション)
252,surface,表面；〔the ～〕外見,sur(上の) + face(顔・面) → 上に出ている面,surf(波乗りする)
253,crop,〔しばしば～s〕作物；収穫高,crop(首・丸く切る) → 首を刈り取って収穫するもの,cropper(大失敗・収穫者)
254,topic,話題，トピック；主題,topos(場所)が語源 → 議論の場・テーマ,topical(話題の)
255,technique,技術；技巧；手法,techne(技術)が語源 → 手際よく行う技術,technical(技術的な) / technician(技術者)
256,status,地位；状態,sta(立つ) → 社会の中で立っている位置・状態,statue(彫像) / stature(背丈・声望)
257,option,選択(の自由)；選択肢,opt(選ぶ)が語源,optional(任意・選択の)
258,reward,報酬；報い,re(再び) + ward(見守る・報いる) → 行いに対して報いるもの,rewarding(やりがいのある)
259,race,人種；民族；競争,radix(根)または run(走る)が語源,racial(人種の) / racism(人種差別)
260,crime,罪，犯罪；違法行為,cern(判別する・裁く)が語源 → 裁かれるべき犯罪,criminal(犯罪者・刑事上の)
261,conflict,争い；論争；不一致,con(共に) + flict(ぶつかる) → 互いに激しくぶつかり合うこと,conflicting(対立する)
262,struggle,闘い；懸命の努力,strouk(もがく)が語源 → 身をもがいて苦闘する,struggling(奮闘する)
263,context,状況，背景；文脈,con(共に) + text(織る) → 前後に織り込まれた背景・文脈,contextual(文脈上の)
264,debate,討論，論争；討論会,de(完全に) + bat(打つ) → 言葉で叩き合って議論する,debatable(議論の余地がある)
265,fuel,燃料；勢いを増加させるもの,foc(火)が語源 → 火を燃やすための材料,refuel(燃料を補給する)
266,pollution,汚染，公害,pro(前へ) + lut(泥を塗る・汚す) → 泥で汚すこと,pollute(汚染する) / pollutant(汚染物質)
267,trend, (～への)傾向(toward)；流行,trend(回転する・向かう)が語源 → 特定の方向へ向かう流れ,trendy(流行の)
268,balance,均衡，バランス；(体の)平衡；残高,bis(2つの) + lanx(皿) → 2つの皿がつり合う天秤,balanced(バランスの取れた)
269,traffic,交通；通行；交通［輸送］量；(不正)取引,trans(超えて) + fic(運ぶ) → 行き交う交通量,trafficker(密売人)
270,strategy,戦略,stratos(軍隊) + ag(導く) → 軍を導く作戦,strategic(戦略的な) / strategist(戦略家)
271,basis,基礎；根拠；基準,ba(歩く・立つ) → 足元にしっかり立つ土台,basic(基本的な) / basically(基本的に)
272,consequence,〔通例～s〕結果；重大性,con(共に) + sequ(続く) → あとからついてくる結果,consequent(結果として生じる) / consequently(結果として)
273,aim,目的，目標；狙い,aestimare(見積もる)が語源 → 狙いを定めて目指す,aimless(目的のない)
274,ancestor,祖先；原型,ante(前に) + cede(行く) → 前を行っていた人々,ancestral(祖先の)
275,gene,遺伝子,gen(生み出す)が語源,genetic(遺伝の) / genetics(遺伝学)
276,track,跡；軌道；【米】(鉄道の)番線；走路,tread(足跡)と同語源 → 足跡・通り道,tracksuit(トレーニングウェア)
277,revolution,革命；回転；(天体の)公転,re(再び) + volv(転がる) → ガラリと一回転して変わる,revolutionary(革命的な) / revolve(回転する)
278,progress,進歩；前進,pro(前方へ) + gress(進む) → 前に向かって進んでいく,progressive(進歩的な)
279,cognitive,認知の,con(共に) + gnos(知る) → 情報を知覚・理解する,cognition(認知) / cognizable(認識できる)
280,ideal,理想的な；観念的な,idea(頭の中のイメージ) + al(形容詞化),idealism(理想主義) / idealize(理想化する)
281,efficient,効率的な；有能な,ex(外へ) + fic(作る) → 無駄なく結果を作り出せる,efficiency(効率) / efficiently(効率的に)
282,universal,普遍的な；宇宙の；万能の,unus(ひとつ) + vert(回転する) → 全体がひとつに回った・全般的な,universe(宇宙) / universality(普遍性)
283,vast,莫大な；広大な,vastus(空っぽの・果てしない)が語源,vastly(非常に・莫大に)
284,extra,追加の，余分の；別勘定の,extra(外側に)が語源 → 枠の外にある余分なもの,extraordinary(並外れた)
285,entire,全体の，全部の；完全な,in(不) + tact(触れる) → 触れられていない丸ごとの,entirely(完全に・まったく) / entirety(全体)
286,familiar,精通している；よく知られている,familia(家族) → 家族のように親しい・馴染みの,familiarity(精通・親しみ) / familiarize(慣れさせる)
287,obvious,明らかな,ob(前に) + via(道) → 目の前の道にあって誰でもわかる,obviously(明らかに)
288,moral,道徳(上)の，倫理的な；道徳的な,mos(風習・おきて)が語源,morality(道徳性) / morally(道徳的に)
289,ordinary,一般の，普通の；並の,ordo(順序・列) → 順序通りのありふれた,extraordinary(並外れた) / ordinarily(通常は)
290,equal, (～に)等しい(to)；匹敵する；平等な,aequus(平らな・等しい)が語源,equality(平等) / equally(同様に)
291,previous,以前の，前の,pre(前に) + via(道) → 先の道を行っていた,previously(以前は)
292,FALSE,間違った；虚偽の；偽の,fall(騙す)が語源 → 事実と異なる,falsehood(嘘・偽り) / falsify(偽造する)
293,rare,まれな，珍しい；希少な,rarus(隙間のある・まばらな)が語源,rarely(滅多に〜ない) / rarity(珍しさ)
294,legal,法律の；合法の,lex(法律)が語源,legality(合法性) / legalize(合法化する)
295,independent, (～から)独立した(of / from),in(不) + de(下に) + pend(ぶら下がる) → 誰の下にもぶら下がらない,independence(独立) / independently(独立して)
296,extreme,極端な；極度の，過激な,extra(外側)の最高級 → 端の端まで行き切った,extremely(極めて) / extremist(過激派)
297,actual,実際の，現実の,act(動く・行う) → 実際に起こっている,actually(実は・実際に)
298,willing,いとわない，かまわないと思う,will(意志) + ing → 自ら進んで〜する気がある,willingness(進んで行う意思) / unwilling(乗り気でない)
299,urban,都市の；都会的な,urbs(都市)が語源,urbanize(都市化する) / suburban(郊外の)
300,whereas,～するのに(対し)，～する一方,where(〜である場所で) + as(〜のように) → 一方で〜であるのに対して,
301,predict,を予言［予測］する,pre(前に) + dict(語る) → 起こる前に言う,prediction(予測) / predictable(予測可能な)
302,examine,を調べる；を診察する；を尋問する,ex(外へ) + agere(動かす) → 天秤で重さをしっかり測り調べる,examination(検査・試験) / examiner(試験官・検査員)
303,trust,を信頼する；を(信頼して)託す,trygg(確かな・安全な)が語源,trustworthy(信頼できる) / trustee(理事・受託者)
304,stick,を動けなくする；を突き刺す；(～に)くっつく(to / on),stik(刺す・尖った棒)が語源,sticky(くっつく・粘着性の) / sticker(ステッカー)
305,emerge,現れる；明らかになる；台頭する,e(外へ) + merge(沈む) → 水底から浮かび上がる,emergence(出現) / emergency(緊急事態)
306,vary,さまざまである；変わる；を変える,vario(変わる)が語源,variety(変化・多様性) / variable(変わりやすい)
307,release,を放出する；を解放する；を発表する,re(再び) + lax(緩める) → 縛りを解いて解き放つ,releaser(解放者)
308,divide,を分ける；分かれる,di(離れて) + vid(分ける) → 2つに切り分ける,division(分割・部門) / dividend(配当金)
309,enable, (人)が…できるようにする；を可能にする,en(〜にする) + able(できる) → 可能にする,enablement(有効化)
310,judge, (を)判断する；に判判決を下す,jus(法) + dic(語る) → 法律に基づいて語る,judgment(判断・判決)
311,rely,頼る,re(強く) + lig(結ぶ) → 強く結びついて頼る,reliable(信頼できる) / reliance(依存・信頼)
312,engage,を従事させる；を(～として)雇う(as)；(～に)従事する(in / with),en(中に) + gage(誓約・保証) → 約束して中に引き込む,engagement(約束・婚約・従事)
313,shift,を変える，移す；変わる；移動する,skift(分ける・動かす)が語源 → 位置や役割をずらす,shifter(移動させるもの)
314,adopt,を採用する；(態度など)をとる；を養子にする,ad(〜へ) + opt(選ぶ) → 選んで自分のものにする,adoption(採用・養子縁組)
315,acquire,を得る；を習得する,ad(〜へ) + quire(求める) → 追い求めて手に入れる,acquisition(獲得・習得)
316,expand, (を)拡大する；(を)詳説する,ex(外へ) + pand(広げる) → 外に向かって押し広げる,expansion(拡大) / expansive(広範な)
317,refuse,を拒む；を断る；拒絶する,re(後ろへ) + fuse(注ぐ) → 押し戻して拒絶する,refusal(拒絶・断り)
